features,Coefficients
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,-0.374984541
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Trans_Amt,-0.372255097
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.371395338
poly__Total_Revolving_Bal Total_Trans_Ct,0.370136011
poly__Dependent_count Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1,0.369281651
poly__Dependent_count Total_Relationship_Count Total_Revolving_Bal^2,0.368951921
poly__Contacts_Count_12_mon Total_Relationship_Count,-0.366840067
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.365871548
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,0.365448769
poly__Contacts_Count_12_mon^3 Total_Revolving_Bal,-0.364902457
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.364658673
poly__Dependent_count Total_Trans_Amt,0.363697866
poly__Total_Revolving_Bal Total_Trans_Amt^2,-0.362829104
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.362098638
poly__Contacts_Count_12_mon Months_Inactive_12_mon^2,0.361525006
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.361287695
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.360451469
poly__Avg_Utilization_Ratio^2 Total_Relationship_Count Total_Trans_Amt,-0.360340394
poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Amt,0.359134141
poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct^2,-0.356608701
poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.355918467
poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Trans_Amt,-0.355507015
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.354754605
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.354590127
