features,Coefficients
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.044641292
poly__Contacts_Count_12_mon Total_Revolving_Bal^3,-0.044455881
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.044044152
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct^2,0.044036109
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.044034348
poly__Avg_Utilization_Ratio^3 Total_Relationship_Count,0.043581566
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.043475574
poly__Dependent_count Months_Inactive_12_mon^2,0.043367677
poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count Total_Revolving_Bal,-0.042346401
poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt Total_Trans_Ct,0.041518948
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.04149605
poly__Total_Ct_Chng_Q4_Q1^3 Total_Relationship_Count,0.040853462
poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.039899317
poly__Avg_Utilization_Ratio Dependent_count Total_Ct_Chng_Q4_Q1,0.03962872
poly__Months_Inactive_12_mon^2 Total_Relationship_Count,-0.039559207
poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt^2,-0.038940832
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Months_Inactive_12_mon,0.03882432
poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.038682775
poly__Dependent_count Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,0.038337364
poly__Total_Amt_Chng_Q4_Q1,0.037913876
poly__Contacts_Count_12_mon^2 Total_Relationship_Count Total_Revolving_Bal,-0.037478116
poly__Avg_Utilization_Ratio^2 Dependent_count Total_Amt_Chng_Q4_Q1,0.037445195
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Trans_Ct,-0.036466389
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,-0.036401788
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon,0.036304388
poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1^2,0.034364097
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.033781064
poly__Total_Relationship_Count Total_Trans_Ct^3,0.03370511
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.032998509
poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.032937272
poly__Months_Inactive_12_mon^2 Total_Revolving_Bal^2,0.031927672
poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1,-0.031475728
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,0.030717086
poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.030406459
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1,0.030226484
remainder__Income_Category,-0.029623244
poly__Months_Inactive_12_mon^2 Total_Relationship_Count Total_Trans_Amt,0.029605867
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.029495329
poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,0.029436048
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.029329126
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Amt,0.026458173
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,-0.026080992
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.02546088
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,-0.025339889
poly__Dependent_count^2 Total_Relationship_Count Total_Revolving_Bal,0.025248762
poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.024796064
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Relationship_Count,-0.024215353
poly__Total_Relationship_Count^2 Total_Trans_Amt^2,0.023944864
poly__Dependent_count Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.023646701
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count^2,-0.023609191
poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon^2,-0.023358017
poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1^2,-0.023314344
poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1,-0.022519015
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.021503994
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.021326896
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.021214951
poly__Contacts_Count_12_mon^2 Dependent_count Total_Trans_Amt,-0.021085813
poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2,0.021066891
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.020991909
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,0.020884376
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.020574498
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,-0.020224449
poly__Avg_Utilization_Ratio^2 Dependent_count Months_Inactive_12_mon,0.019889667
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.019464183
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Trans_Ct,0.019123855
poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1,-0.019019868
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,-0.018804309
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,0.01761235
poly__Avg_Utilization_Ratio^3 Total_Amt_Chng_Q4_Q1,0.017595352
poly__Dependent_count Total_Amt_Chng_Q4_Q1^2,0.017167926
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.016766667
poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Relationship_Count,-0.015163994
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count,-0.014887495
poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct^2,-0.014106832
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Amt,-0.013355222
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Trans_Ct,-0.013004595
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^3,-0.012883765
poly__Total_Relationship_Count^3 Total_Revolving_Bal,0.01266763
poly__Contacts_Count_12_mon^2 Total_Revolving_Bal^2,0.012295944
poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1,-0.011367524
poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.010386926
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.010218048
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.009830277
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^3,-0.009728271
poly__Dependent_count^3 Total_Amt_Chng_Q4_Q1,0.00966219
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.009319938
poly__Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.009080924
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.008778325
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,-0.007536308
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,0.007231577
poly__Total_Ct_Chng_Q4_Q1^4,0.007016126
poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.006698916
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.006202742
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,0.006168427
poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Relationship_Count,0.004595258
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.004123068
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2,0.003295821
poly__Contacts_Count_12_mon Dependent_count Total_Trans_Amt,-0.002896361
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2,-0.002346494
poly__Months_Inactive_12_mon^2 Total_Relationship_Count Total_Revolving_Bal,-0.002221961
poly__Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal^2,-0.002039072
poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1^2,0.001777838
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal,0.001571492
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.001168368
poly__Avg_Utilization_Ratio^2 Total_Relationship_Count^2,-0.000488408
poly__1,0
